LEXICON:	lex-andorra.txt	CAT	ca_AD
LEXENTRY:	AD	ANDORRA	NATION	DETACH
LEXENTRY:	AND	ANDORRA	NATION	DETACH
LEXENTRY:	ANDORRA	ANDORRA	NATION	DETACH
LEXENTRY:	ANDORRA LA VELLA	ANDORRA LA VELLA	CITY	DETACH
LEXENTRY:	AV	AVINGUDA	TYPE	DETACH
LEXENTRY:	AV.	AVINGUDA	TYPE	DETACH
LEXENTRY:	AVDA	AVINGUDA	TYPE	DETACH
LEXENTRY:	AVDA.	AVINGUDA	TYPE	DETACH
LEXENTRY:	AVENIDA	AVINGUDA	TYPE	DETACH
LEXENTRY:	AVINGUDA	AVINGUDA	TYPE	PREFIX,DETACH
LEXENTRY:	AVINGUDA D'	AVINGUDA	TYPE	DETACH
LEXENTRY:	AVINGUDA D' 	AVINGUDA	TYPE	PREFIX,DETACH
LEXENTRY:	AVINGUDA DE	AVINGUDA	TYPE	DETACH
LEXENTRY:	AVINGUDA DE LES	AVINGUDA	TYPE	DETACH
LEXENTRY:	AVINGUDA DEL	AVINGUDA	TYPE	DETACH
LEXENTRY:	AVINGUDA DELS	AVINGUDA	TYPE	DETACH
LEXENTRY:	BAIXADA	BAIXADA	TYPE	DETACH
LEXENTRY:	BAIXADA DEL	BAIXADA	TYPE	DETACH
LEXENTRY:	BAJADA	BAIXADA	TYPE	DETACH
LEXENTRY:	BDA	BAIXADA	TYPE	DETACH
LEXENTRY:	BDA.	BAIXADA	TYPE	DETACH
LEXENTRY:	C.	CALLE	TYPE	DETACH
LEXENTRY:	C/	CALLE	TYPE	DETACH
LEXENTRY:	CALLE	CALLE	TYPE	DETACH
LEXENTRY:	CAMINO	CAMINO	TYPE	DETACH
LEXENTRY:	CANILLO	CANILLO	CITY	DETACH
LEXENTRY:	CARRER	CARRER	TYPE	DETACH
LEXENTRY:	CARRER DE	CARRER	TYPE	DETACH
LEXENTRY:	CARRER DE LA	CARRER	TYPE	DETACH
LEXENTRY:	CARRER DE LES	CARRER	TYPE	DETACH
LEXENTRY:	CARRETERA	CARRETERA	TYPE	DETACH,PREFIX
LEXENTRY:	CARRETERA D'	CARRETERA	TYPE	DETACH,PREFIX
LEXENTRY:	CARRETERA DE	CARRETERA	TYPE	DETACH
LEXENTRY:	CARRETERA DE L'	CARRETERA	TYPE	PREFIX,DETACH
LEXENTRY:	CARRETERA DEL	CARRETERA	TYPE	DETACH
LEXENTRY:	CO	CAMINO	TYPE	DETACH
LEXENTRY:	CO.	CAMINO	TYPE	DETACH
LEXENTRY:	COMERCIANTE	COMERCIANTE	PLACEN	DETACH
LEXENTRY:	COOPERATIVA	COOPERATIVA	PLACEN	DETACH
LEXENTRY:	CTA	CUESTA	TYPE	DETACH
LEXENTRY:	CTA.	CUESTA	TYPE	DETACH
LEXENTRY:	CTRA	CARRETERA	TYPE	DETACH
LEXENTRY:	CTRA.	CARRETERA	TYPE	DETACH
LEXENTRY:	CUESTA	CUESTA	TYPE	DETACH
LEXENTRY:	Cª	CARRETERA	TYPE	DETACH
LEXENTRY:	C°	CAMINO	TYPE	DETACH
LEXENTRY:	ENCAMP	ENCAMP	CITY	DETACH
LEXENTRY:	ESCALDES ENGODANY	ESCALDES ENGORDANY	CITY	DETACH
LEXENTRY:	ESCALDES-ENGODANY	ESCALDES ENGORDANY	CITY	DETACH
LEXENTRY:	ESCALDES-ENGORDANY	ESCALDES ENGORDANY	CITY	DETACH
LEXENTRY:	FUNDACION	FUNDACION	PLACEN	DETACH
LEXENTRY:	GLORIETA	GLORIETA	TYPE	DETACH
LEXENTRY:	GTA	GLORIETA	TYPE	DETACH
LEXENTRY:	GTA.	GLORIETA	TYPE	DETACH
