LEXICON:	lex-canada.txt	FRE	fr_CA
LEXENTRY:	#	APT	UNITH	DETACH
LEXENTRY:	1	1	WORD	DETACH
LEXENTRY:	10	10	WORD	DETACH
LEXENTRY:	10E	10E	WORD,ORD	DETACH
LEXENTRY:	10TH	10TH	WORD,ORD	DETACH
LEXENTRY:	11	11	WORD	DETACH
LEXENTRY:	11TH	11TH	WORD,ORD	DETACH
LEXENTRY:	12	12	WORD	DETACH
LEXENTRY:	12TH	12TH	WORD,ORD	DETACH
LEXENTRY:	13	13	WORD	DETACH
LEXENTRY:	13TH	13TH	WORD,ORD	DETACH
LEXENTRY:	14	14	WORD	DETACH
LEXENTRY:	14TH	14TH	WORD,ORD	DETACH
LEXENTRY:	15	15	WORD	DETACH
LEXENTRY:	15TH	15TH	WORD,ORD	DETACH
LEXENTRY:	16	16	WORD	DETACH
LEXENTRY:	16TH	16TH	WORD,ORD	DETACH
LEXENTRY:	17	17	WORD	DETACH
LEXENTRY:	17TH	17TH	WORD,ORD	DETACH
LEXENTRY:	18	18	WORD	DETACH
LEXENTRY:	18TH	18TH	WORD,ORD	DETACH
LEXENTRY:	19	19	WORD	DETACH
LEXENTRY:	19TH	19TH	WORD,ORD	DETACH
LEXENTRY:	1ER	1ER	WORD,ORD	DETACH
LEXENTRY:	1ST	1ST	WORD,ORD	DETACH
LEXENTRY:	1ÈRE	1ER	WORD,ORD	DETACH
LEXENTRY:	2	2	WORD	DETACH
LEXENTRY:	20	20	WORD	DETACH
LEXENTRY:	20TH	20TH	WORD,ORD	DETACH
LEXENTRY:	2E	2E	WORD,ORD	DETACH
LEXENTRY:	2ND	2ND	WORD,ORD	DETACH
LEXENTRY:	3	3	WORD	DETACH
LEXENTRY:	30	30	WORD	DETACH
LEXENTRY:	30TH	30TH	WORD,ORD	DETACH
LEXENTRY:	3E	3E	WORD,ORD	DETACH
LEXENTRY:	3RD	3RD	WORD,ORD	DETACH
LEXENTRY:	4	4	WORD	DETACH
LEXENTRY:	40	40	WORD	DETACH
LEXENTRY:	40TH	40TH	WORD,ORD	DETACH
LEXENTRY:	4E	4E	WORD,ORD	DETACH
LEXENTRY:	4TH	4TH	WORD,ORD	DETACH
LEXENTRY:	5	5	WORD	DETACH
LEXENTRY:	50	50	WORD	DETACH
LEXENTRY:	50TH	50TH	WORD,ORD	DETACH
LEXENTRY:	5E	5E	WORD,ORD	DETACH
LEXENTRY:	5TH	5TH	WORD,ORD	DETACH
LEXENTRY:	6	6	WORD	DETACH
LEXENTRY:	60	60	WORD	DETACH
LEXENTRY:	60TH	60TH	WORD,ORD	DETACH
LEXENTRY:	6E	6E	WORD,ORD	DETACH
LEXENTRY:	6TH	6TH	WORD,ORD	DETACH
LEXENTRY:	7	7	WORD	DETACH
LEXENTRY:	70	70	WORD	DETACH
LEXENTRY:	70TH	70TH	WORD,ORD	DETACH
LEXENTRY:	7E	7E	WORD,ORD	DETACH
LEXENTRY:	7TH	7TH	WORD,ORD	DETACH
LEXENTRY:	8	8	WORD	DETACH
LEXENTRY:	80	80	WORD	DETACH
LEXENTRY:	80TH	80TH	WORD,ORD	DETACH
LEXENTRY:	8E	8E	WORD,ORD	DETACH
LEXENTRY:	8TH	8TH	WORD,ORD	DETACH
LEXENTRY:	9	9	WORD	DETACH
LEXENTRY:	90	90	WORD	DETACH
LEXENTRY:	90TH	90TH	WORD,ORD	DETACH
LEXENTRY:	9E	9E	WORD,ORD	DETACH
LEXENTRY:	9TH	9TH	WORD,ORD	DETACH
LEXENTRY:	AB	ALBERTA	PROV	DETACH
LEXENTRY:	AEROPORT	AEROPORT	PLACEN	DETACH
LEXENTRY:	AGENCY	AGENCY	PLACEN	DETACH
LEXENTRY:	AIRPORT	AIRPORT	PLACEN	DETACH
LEXENTRY:	ALLEE	ALY	TYPE	DETACH
LEXENTRY:	ALLEY	ALY	TYPE	DETACH
LEXENTRY:	ALLIE	ALLIE	TYPE	DETACH,PREFIX
LEXENTRY:	ALLIE D'	ALLIE	TYPE	DETACH,PREFIX
LEXENTRY:	ALLIE DE	ALLIE	TYPE	DETACH
LEXENTRY:	ALLIE DE L'	ALLIE	TYPE	DETACH,PREFIX
LEXENTRY:	ALLIE DE LA	ALLIE	TYPE	DETACH
LEXENTRY:	ALLIE DES	ALLIE	TYPE	DETACH
