LEXICON:	lex-denmark.txt	DAN	da_DK
LEXENTRY:		N	WORD	DETACH
LEXENTRY:	 	S 	WORD	DETACH
LEXENTRY:	 	OE	WORD	DETACH
LEXENTRY:	 	Ø	WORD	DETACH
LEXENTRY:	 	V	WORD	DETACH
LEXENTRY:	 	NV	WORD	DETACH
LEXENTRY:	 	NØ	WORD	DETACH
LEXENTRY:	 	SV	WORD	DETACH
LEXENTRY:	 	SØ	WORD	DETACH
LEXENTRY:	 	K	WORD	DETACH
LEXENTRY:	 	C	WORD	DETACH
LEXENTRY:	AGER	AGER	TYPE	SUFFIX,DETACH
LEXENTRY:	AGEREN	AGEREN	TYPE	SUFFIX,DETACH
LEXENTRY:	ALL	ALLÉ	TYPE	DETACH
LEXENTRY:	ALL.	ALLÉ	TYPE	DETACH
LEXENTRY:	ALLE	ALLÉ	TYPE	SUFFIX,DETACH
LEXENTRY:	ALLE	ALLE	TYPE	DETACH
LEXENTRY:	ALLÉ	ALLÉ	TYPE	SUFFIX,DETACH
LEXENTRY:	ASEN	ÅSEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BAG	BAG	TYPE	DETACH
LEXENTRY:	BAKKE	BAKKE	TYPE	SUFFIX,DETACH
LEXENTRY:	BAKKEN	BAKKEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BJERG	BJERG	TYPE	DETACH,SUFFIX
LEXENTRY:	BJERGET	BJERGET	TYPE	SUFFIX,DETACH
LEXENTRY:	BO	BO	TYPE	SUFFIX,DETACH
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	DETACH
LEXENTRY:	BRINKEN	BRINKEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BRO	BRO	TYPE	SUFFIX,DETACH
LEXENTRY:	BRYGGE	BRYGGE	TYPE	DETACH
LEXENTRY:	BUEN	BUEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BYGADE	BYGADE	TYPE	DETACH
LEXENTRY:	DAL	DAL	TYPE	DETACH,SUFFIX
LEXENTRY:	DALEN	DALEN	TYPE	DETACH,SUFFIX
LEXENTRY:	DAMMEN	DAMMEN	TYPE	DETACH,SUFFIX
LEXENTRY:	DENMARK	DENMARK	NATION	DETACH
LEXENTRY:	DK	DENMARK	NATION	DETACH
LEXENTRY:	DNK	DENMARK	NATION	DETACH
LEXENTRY:	DRAGET	DRAGET	TYPE	SUFFIX,DETACH
LEXENTRY:	ENG	ENG	TYPE	DETACH,SUFFIX
LEXENTRY:	ENGEN	ENGEN	TYPE	DETACH,SUFFIX
LEXENTRY:	FALDET	FALDET	TYPE	DETACH,SUFFIX
LEXENTRY:	FOLDEN	FOLDEN	TYPE	DETACH,SUFFIX
LEXENTRY:	GADE	GADE	TYPE	DETACH,SUFFIX
LEXENTRY:	GANGEN	GANGEN	TYPE	DETACH,SUFFIX
LEXENTRY:	GARD	GÅRD	TYPE	DETACH,SUFFIX
LEXENTRY:	GARDEN	GÅRDEN	TYPE	DETACH,SUFFIX
LEXENTRY:	GRÆNSEN	GRÆNSEN	TYPE	SUFFIX,DETACH
LEXENTRY:	GÅRD	GÅRD	TYPE	SUFFIX,DETACH
LEXENTRY:	GÅRDEN	GÅRDEN	TYPE	DETACH,SUFFIX
LEXENTRY:	HAVE	HAVE	TYPE	SUFFIX,DETACH
LEXENTRY:	HAVEN	HAVEN	TYPE	SUFFIX,DETACH
LEXENTRY:	HEGNET	HEGNET	TYPE	SUFFIX,DETACH
LEXENTRY:	HOJ	HØJ	TYPE	SUFFIX,DETACH
LEXENTRY:	HOLM	HOLM	TYPE	SUFFIX,DETACH
LEXENTRY:	HOLMEN	HOLMEN	TYPE	DETACH,SUFFIX
LEXENTRY:	HUSENE	HUSENE	TYPE	SUFFIX,DETACH
LEXENTRY:	HØJ	HØJ	TYPE	DETACH,SUFFIX
LEXENTRY:	KAJ	KAJ	TYPE	DETACH,SUFFIX
LEXENTRY:	KANAL	KANAL	TYPE	DETACH
LEXENTRY:	KRATTET	KRATTET	TYPE	SUFFIX,DETACH
LEXENTRY:	KROGEN	KROGEN	TYPE	SUFFIX,DETACH
LEXENTRY:	KÆR	KÆR	TYPE	SUFFIX,DETACH
