LEXICON:	lex-finland.txt	FIN	fi_FI
LEXENTRY:	AB	AB	PLACEN	DETACH
LEXENTRY:	AKTIEBOLAG	AKTIEBOLAG	PLACEN	DETACH
LEXENTRY:	AKTIEBOLAGET	AKTIEBOLAGET	PLACEN	DETACH
LEXENTRY:	ALLÉN	ALLÉN	TYPE	DETACH,SUFFIX
LEXENTRY:	AUKIO	AUKIO	TYPE	DETACH,SUFFIX
LEXENTRY:	BACKEN	BACKEN	TYPE	SUFFIX,DETACH
LEXENTRY:	BRANTEN	BRANTEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BRINKEN	BRINKEN	TYPE	SUFFIX,DETACH
LEXENTRY:	BRO	BRO	TYPE	DETACH,SUFFIX
LEXENTRY:	BRON	BRON	TYPE	DETACH,SUFFIX
LEXENTRY:	BRYGGA	BRYGGA	TYPE	DETACH
LEXENTRY:	BRYGGAN	BRYGGAN	TYPE	DETACH,SUFFIX
LEXENTRY:	BÅGE	BÅGE	TYPE	DETACH
LEXENTRY:	BÅGEN	BÅGEN	TYPE	DETACH,SUFFIX
LEXENTRY:	DALEN	DALEN	TYPE	DETACH,SUFFIX
LEXENTRY:	DRAGET	DRAGET	TYPE	DETACH,SUFFIX
LEXENTRY:	ESPLANADEN	ESPLANADEN	TYPE	DETACH,SUFFIX
LEXENTRY:	ESPLANADI	ESPLANADI	TYPE	DETACH,SUFFIX
LEXENTRY:	FI	FINLAND	NATION	DETACH
LEXENTRY:	FIN	FINLAND	NATION	DETACH
LEXENTRY:	FINLAND	FINLAND	NATION	DETACH
LEXENTRY:	G.	GATAN	TYPE	DETACH,SUFFIX
LEXENTRY:	G.	GATA	TYPE	DETACH
LEXENTRY:	GATA	GATA	TYPE	SUFFIX,DETACH
LEXENTRY:	GATAN	GATAN	TYPE	DETACH,SUFFIX
LEXENTRY:	GRÄND	GRÄND	TYPE	SUFFIX,DETACH
LEXENTRY:	GRÄNDEN	GRÄNDEN	TYPE	SUFFIX,DETACH
LEXENTRY:	GT	GATAN	TYPE	DETACH,SUFFIX
LEXENTRY:	GT.	GATAN	TYPE	DETACH,SUFFIX
LEXENTRY:	GT.	GATA	TYPE	DETACH
LEXENTRY:	GÅNG	GÅNG	TYPE	DETACH
LEXENTRY:	GÅNGEN	GÅNGEN	TYPE	SUFFIX,DETACH
LEXENTRY:	GÅRDSVÄG	GÅRDSVÄG	TYPE	DETACH
LEXENTRY:	GÅRDSVÄGEN	GÅRDSVÄGEN	TYPE	DETACH,SUFFIX
LEXENTRY:	HAMN	HAMN	TYPE	DETACH
LEXENTRY:	HAMNEN	HAMNEN	TYPE	SUFFIX,DETACH
LEXENTRY:	HÖJDEN	HÖJDEN	TYPE	SUFFIX,DETACH
LEXENTRY:	K.	KATU	TYPE	DETACH,SUFFIX
LEXENTRY:	KAJEN	KAJEN	TYPE	SUFFIX,DETACH
LEXENTRY:	KALLIO	KALLIO	TYPE	SUFFIX,DETACH
LEXENTRY:	KATU	KATU	TYPE	SUFFIX,DETACH
LEXENTRY:	KLIPPAN	KLIPPAN	TYPE	SUFFIX,DETACH
LEXENTRY:	KORSET	KORSET	TYPE	SUFFIX,DETACH
