LEXICON:	lex-france.txt	FRE	fr
LEXENTRY:		CÉDEX	WORD	DETACH
LEXENTRY:	1	1	NUMBER	DETACH
LEXENTRY:	10	10	NUMBER	DETACH
LEXENTRY:	100	100	NUMBER	DETACH
LEXENTRY:	10E	10E	WORD,ORD	DETACH
LEXENTRY:	11	11	NUMBER	DETACH
LEXENTRY:	12	12	NUMBER	DETACH
LEXENTRY:	13	13	NUMBER	DETACH
LEXENTRY:	14	14	NUMBER	DETACH
LEXENTRY:	15	15	NUMBER	DETACH
LEXENTRY:	16	16	NUMBER	DETACH
LEXENTRY:	17	17	NUMBER	DETACH
LEXENTRY:	18	18	NUMBER	DETACH
LEXENTRY:	19	19	NUMBER	DETACH
LEXENTRY:	1ER	1ER	WORD,ORD	DETACH
LEXENTRY:	1ÈRE	1ER	WORD,ORD	DETACH
LEXENTRY:	2	2	NUMBER	DETACH
LEXENTRY:	20	20	NUMBER	DETACH
LEXENTRY:	2E	2E	WORD,ORD	DETACH
LEXENTRY:	3	3	NUMBER	DETACH
LEXENTRY:	30	30	NUMBER	DETACH
LEXENTRY:	3E	3E	WORD,ORD	DETACH
LEXENTRY:	4	4	NUMBER	DETACH
LEXENTRY:	40	40	NUMBER	DETACH
LEXENTRY:	4E	4E	WORD,ORD	DETACH
LEXENTRY:	5	5	NUMBER	DETACH
LEXENTRY:	50	50	NUMBER	DETACH
LEXENTRY:	5E	5E	WORD,ORD	DETACH
LEXENTRY:	6	6	NUMBER	DETACH
LEXENTRY:	60	60	NUMBER	DETACH
LEXENTRY:	6E	6E	WORD,ORD	DETACH
LEXENTRY:	7	7	NUMBER	DETACH
LEXENTRY:	7E	7E	WORD,ORD	DETACH
LEXENTRY:	8	8	NUMBER	DETACH
LEXENTRY:	8E	8E	WORD,ORD	DETACH
LEXENTRY:	9	9	NUMBER	DETACH
LEXENTRY:	9E	9E	WORD,ORD	DETACH
LEXENTRY:	AEROPORT	AEROPORT	PLACEN	DETACH
LEXENTRY:	ALLÉE	ALLÉE	TYPE	DETACH,PREFIX
LEXENTRY:	ALLÉE AUX	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉE D'	ALLÉE	TYPE	DETACH,PREFIX
LEXENTRY:	ALLÉE DE	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉE DE L'	ALLÉE	TYPE	PREFIX,DETACH
LEXENTRY:	ALLÉE DE LA	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉE DES	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉE DU	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉE L'	ALLÉE	TYPE	DETACH,PREFIX
LEXENTRY:	ALLÉE LA	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉE LE	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉE LES 	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉES	ALLÉES	TYPE	DETACH
LEXENTRY:	ALLÉES DES	ALLÉES	TYPE	DETACH
LEXENTRY:	ANCIEN CHEMIN	ANCIEN CHEMIN	TYPE	DETACH
LEXENTRY:	ANCIEN CHEMIN DE 	ANCIEN CHEMIN	TYPE	DETACH
LEXENTRY:	ANCIENNE ROUTE	ANCIENNE ROUTE	TYPE	DETACH
LEXENTRY:	ANCIENNE ROUTE DE	ANCIENNE ROUTE	TYPE	DETACH
LEXENTRY:	ANCIENNE RUE	ANCIENNE RUE	TYPE	DETACH
LEXENTRY:	ANCIENNE RUE AUX	ANCIENNE RUE	TYPE	DETACH
LEXENTRY:	APARTEMENT	APARTEMENT	UNITH	DETACH
LEXENTRY:	APP	APARTEMENT	UNITH	DETACH
LEXENTRY:	APP.	APARTEMENT	UNITH	DETACH
LEXENTRY:	ASBL	ASBL	PLACEN	DETACH
LEXENTRY:	ASSOCIATION	ASSOCIATION	PLACEN	DETACH
LEXENTRY:	AUTOROUTE	AUTOROUTE	TYPE	PREFIX,DETACH
LEXENTRY:	AUTOROUTE DE	AUTOROUTE	TYPE	DETACH
LEXENTRY:	AUTOROUTE DE L'	AUTOROUTE	TYPE	DETACH,PREFIX
LEXENTRY:	AUTOROUTE DU	AUTOROUTE	TYPE	DETACH
LEXENTRY:	AV	AVENUE	TYPE	DETACH
LEXENTRY:	AV.	AVENUE	TYPE	DETACH
LEXENTRY:	AVE	AVENUE	TYPE	DETACH
LEXENTRY:	AVE.	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH,PREFIX
LEXENTRY:	AVENUE D'	AVENUE	TYPE	DETACH,PREFIX
LEXENTRY:	AVENUE DE	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE DE L'	AVENUE	TYPE	DETACH,PREFIX
LEXENTRY:	AVENUE DE LA	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE DES	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE DU	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE LA 	AVENUE	TYPE	DETACH
LEXENTRY:	BANQUE	BANQUE	PLACEN	DETACH
LEXENTRY:	BAT	BÂTIMENT	UNITH	DETACH
LEXENTRY:	BAT.	BÂTIMENT	UNITH	DETACH
LEXENTRY:	BD	BOULEVARD	TYPE	DETACH
LEXENTRY:	BD.	BOULEVARD	TYPE	DETACH
LEXENTRY:	BERGE	BERGE	TYPE	DETACH
LEXENTRY:	BERGE DE	BERGE	TYPE	DETACH
LEXENTRY:	BERGE DE LA	BERGE	TYPE	DETACH
LEXENTRY:	BIBLIOTHÈQUE	BIBLIOTHÈQUE	PLACEN	DETACH
LEXENTRY:	BLD	BOULEVARD	TYPE	DETACH
LEXENTRY:	BLD.	BOULEVARD	TYPE	DETACH
LEXENTRY:	BOULANGERIE	BOULANGERIE	PLACEN	DETACH
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	DETACH,PREFIX
LEXENTRY:	BOULEVARD D'	BOULEVARD	TYPE	PREFIX,DETACH
LEXENTRY:	BOULEVARD DE	BOULEVARD	TYPE	DETACH
LEXENTRY:	BOULEVARD DE L'	BOULEVARD	TYPE	DETACH,PREFIX
LEXENTRY:	BOULEVARD DE LA	BOULEVARD	TYPE	DETACH
LEXENTRY:	BOULEVARD DES	BOULEVARD	TYPE	DETACH
LEXENTRY:	BOULEVARD DU	BOULEVARD	TYPE	DETACH
LEXENTRY:	BRETELLE	BRETELLE	TYPE	DETACH
LEXENTRY:	BUREAU	BUREAU	PLACEN	DETACH
LEXENTRY:	BÂTIMENT	BÂTIMENT	UNITH	DETACH
LEXENTRY:	CAFÉ	CAFÉ	PLACEN	DETACH
LEXENTRY:	CAIE	CÉDEX	WORD	DETACH
LEXENTRY:	CANAL	CANAL	TYPE	DETACH
LEXENTRY:	CARREFOUR	CARREFOUR	TYPE	DETACH,PREFIX
LEXENTRY:	CARREFOUR AUX	CARREFOUR	TYPE	DETACH
LEXENTRY:	CARREFOUR D'	CARREFOUR	TYPE	PREFIX,DETACH
LEXENTRY:	CARREFOUR DE	CARREFOUR	TYPE	DETACH
LEXENTRY:	CARREFOUR DE L'	CARREFOUR	TYPE	PREFIX,DETACH
LEXENTRY:	CARREFOUR DE LA	CARREFOUR	TYPE	DETACH
LEXENTRY:	CARREFOUR DES	CARREFOUR	TYPE	DETACH
LEXENTRY:	CARREFOUR DU	CARREFOUR	TYPE	DETACH
LEXENTRY:	CARRÉ	CARRÉ	TYPE	PREFIX,DETACH
LEXENTRY:	CARRÉ AU	CARRÉ	TYPE	DETACH
LEXENTRY:	CARRÉ DE LA	CARRÉ	TYPE	DETACH
LEXENTRY:	CARRÉ DES	CARRÉ	TYPE	DETACH
LEXENTRY:	CARRÉ DU	CARRÉ	TYPE	DETACH
LEXENTRY:	CARRÉ À L'	CARRÉ	TYPE	DETACH,PREFIX
LEXENTRY:	CARRÉ À LA	CARRÉ	TYPE	DETACH
LEXENTRY:	CEDEX	CÉDEX	WORD	DETACH
LEXENTRY:	CENT	100	NUMBER	DETACH
LEXENTRY:	CENTRE	CENTRE	PLACEN,TYPE	DETACH
LEXENTRY:	CERCLE	CERCLE	TYPE	DETACH
LEXENTRY:	CERCLE DE LA	CERCLE	TYPE	DETACH
LEXENTRY:	CH	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CH.	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CHAMP	CHAMP	TYPE	DETACH
LEXENTRY:	CHAMP DE	CHAMP	TYPE	DETACH
LEXENTRY:	CHAMP DE LA	CHAMP	TYPE	DETACH
LEXENTRY:	CHAMP DU	CHAMP	TYPE	DETACH
LEXENTRY:	CHAUSSÉE	CHAUSSÉE	TYPE	PREFIX,DETACH
LEXENTRY:	CHAUSSÉE DE	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CHAUSSÉE DE L'	CHAUSSÉE	TYPE	DETACH,PREFIX
LEXENTRY:	CHAUSSÉE DE LA	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CHAUSSÉE DES	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CHAUSSÉE DU	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CHEE	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CHEE.	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CHEMIN	CHEMIN	TYPE	DETACH,PREFIX
LEXENTRY:	CHEMIN AU	CHEMIN	TYPE	DETACH
LEXENTRY:	CHEMIN AUX	CHEMIN	TYPE	DETACH
LEXENTRY:	CHEMIN D'	CHEMIN	TYPE	DETACH,PREFIX
LEXENTRY:	CHEMIN DE	CHEMIN	TYPE	DETACH
LEXENTRY:	CHEMIN DE L'	CHEMIN	TYPE	DETACH,PREFIX
LEXENTRY:	CHEMIN DE LA	CHEMIN	TYPE	DETACH
LEXENTRY:	CHEMIN DES	CHEMIN	TYPE	DETACH
LEXENTRY:	CHEMIN DU	CHEMIN	TYPE	DETACH
LEXENTRY:	CHEMIN LES	CHEMIN	TYPE	DETACH
LEXENTRY:	CHEMIN RURAL DE	CHEMIN	TYPE	DETACH
LEXENTRY:	CHEMIN À	CHEMIN	TYPE	DETACH
LEXENTRY:	CHS	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CHS.	CHAUSSÉE	TYPE	DETACH
LEXENTRY:	CINQ	5	NUMBER	DETACH
LEXENTRY:	CINQUANTE	50	NUMBER	DETACH
LEXENTRY:	CINQUIÈME	5E	WORD,ORD	DETACH
LEXENTRY:	CINÉMA	CINÉMA	PLACEN	DETACH
LEXENTRY:	CITÉ	CITÉ	TYPE	DETACH,PREFIX
LEXENTRY:	CITÉ D'	CITÉ	TYPE	PREFIX,DETACH
LEXENTRY:	CITÉ DE	CITÉ	TYPE	DETACH
LEXENTRY:	CITÉ DE L'	CITÉ	TYPE	PREFIX,DETACH
LEXENTRY:	CITÉ DE LA	CITÉ	TYPE	DETACH
LEXENTRY:	CITÉ DES	CITÉ	TYPE	DETACH
LEXENTRY:	CITÉ DU	CITÉ	TYPE	DETACH
LEXENTRY:	CLOS	CLOS	TYPE	PREFIX,DETACH
LEXENTRY:	CLOS D'	CLOS	TYPE	DETACH,PREFIX
LEXENTRY:	CLOS DE	CLOS	TYPE	DETACH
LEXENTRY:	CLOS DE L'	CLOS	TYPE	PREFIX,DETACH
LEXENTRY:	CLOS DE LA	CLOS	TYPE	DETACH
LEXENTRY:	CLOS DES	CLOS	TYPE	DETACH
LEXENTRY:	CLOS DU	CLOS	TYPE	DETACH
LEXENTRY:	CO	CO	PLACEN	DETACH
LEXENTRY:	COLLÈGE	COLLÈGE	PLACEN	DETACH
LEXENTRY:	COMPAGNIE	COMPAGNIE	PLACEN	DETACH
LEXENTRY:	CORDON	CORDON	TYPE	DETACH
LEXENTRY:	CORDON DE	CORDON	TYPE	DETACH
LEXENTRY:	CORP	CORP	PLACEN	DETACH
LEXENTRY:	CORPORATION	CORPORATION	PLACEN	DETACH
LEXENTRY:	COTEAU	COTEAU	TYPE	PREFIX,DETACH
LEXENTRY:	COTEAU D'	COTEAU	TYPE	PREFIX,DETACH
LEXENTRY:	COTEAU D'	COTEAU D'	TYPE	DETACH
LEXENTRY:	COTTAGE	COTTAGE	TYPE	DETACH
LEXENTRY:	COTTAGE DE LA	COTTAGE	TYPE	DETACH
LEXENTRY:	COTTAGE DES	COTTAGE	TYPE	DETACH
LEXENTRY:	COTTAGES	COTTAGES	TYPE	DETACH
LEXENTRY:	COUR	COUR	TYPE	DETACH,PREFIX
LEXENTRY:	COUR AUX	COUR	TYPE	DETACH
LEXENTRY:	COUR D'	COUR	TYPE	DETACH,PREFIX
LEXENTRY:	COUR DE	COUR	TYPE	DETACH
LEXENTRY:	COUR DE L'	COUR	TYPE	DETACH,PREFIX
LEXENTRY:	COUR DE LA	COUR	TYPE	DETACH
LEXENTRY:	COUR DES	COUR	TYPE	DETACH
LEXENTRY:	COUR DU	COUR	TYPE	DETACH
LEXENTRY:	COUR À	COUR	TYPE	DETACH
LEXENTRY:	COURS	COURS	TYPE	PREFIX,DETACH
LEXENTRY:	COURS D'	COURS	TYPE	PREFIX,DETACH
