LEXICON:	lex-germany.txt	GER	de_DE	
LEXENTRY:	CITYBERG	CITYBERG	CITY	DETACH
LEXENTRY:	A. d.	An der	STOPWORD	DETACH
LEXENTRY:	A. d.	An dem	STOPWORD	DETACH
LEXENTRY:	A. d.	Auf dem	STOPWORD	DETACH
LEXENTRY:	A. d.	Auf der	STOPWORD	DETACH
LEXENTRY:	AG	AG	PLACEN	DETACH
LEXENTRY:	AKTIEN	AKTIEN	PLACEN	DETACH
LEXENTRY:	AKTIEN-GESELLSCHAFT	AKTIEN-GESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	AKTIENGESELLSCHAFT	AKTIENGESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	ALLEE	ALLEE	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	Allgemeines Krankenhaus	Allgemeines Krankenhaus	BUILDT	DETACH
LEXENTRY:	AKH	Allgemeines Krankenhaus	BUILDT	DETACH
LEXENTRY:	Altstoffsammelzentrum	Altstoffsammelzentrum	BUILDT	DETACH
LEXENTRY:	ASZ	Altstoffsammelzentrum	BUILDT	DETACH
LEXENTRY:	ANSCHLUSSSTELLE	ANSCHLUSSSTELLE	TYPE	DET_PRE
LEXENTRY:	AUTOBAHNDREIECK	AUTOBAHNDREIECK	TYPE	DET_PRE
LEXENTRY:	AUTOBAHNKREUZ	AUTOBAHNKREUZ	TYPE	DET_PRE
LEXENTRY:	AVENUE	AVENUE	TYPE	DET_SUF
LEXENTRY:	Abzweigung	Abzweigung	WORD	DETACH
LEXENTRY:	Abzwg	Abzweigung	WORD	DETACH
LEXENTRY:	Am	Am	STOPWORD	DETACH
LEXENTRY:	An	An	STOPWORD	DETACH
LEXENTRY:	An dem	An dem	STOPWORD	DETACH
LEXENTRY:	An der	An der	STOPWORD	DETACH
LEXENTRY:	Auf	Auf	STOPWORD	DETACH
LEXENTRY:	Auf dem	Auf dem	STOPWORD	DETACH
LEXENTRY:	Auf der	Auf der	STOPWORD	DETACH
LEXENTRY:	Auss.	Aussiedlerhof	WORD	DETACH
LEXENTRY:	Auss.Hof	Aussiedlerhof	WORD	DETACH
LEXENTRY:	Aussiedl. Hof	Aussiedlerhof	WORD	DETACH
LEXENTRY:	Aussiedlerhof	Aussiedlerhof	WORD	DETACH
LEXENTRY:	B.	Berg	TYPE, WORD	ATT_SUF, DET_SUF
LEXENTRY:	BACH	BACH	TYPE,WORD	ATT_SUF,DETACH,DET_SUF
LEXENTRY:	BADEN-WÜRTTEMBERG	BADEN-WÜRTTEMBERG	PROV	DETACH
LEXENTRY:	BAVARIA	BAYERN	PROV	DETACH
LEXENTRY:	BAYERN	BAYERN	PROV	DETACH
LEXENTRY:	BD	BOULEVARD	TYPE	ATT_SUF
LEXENTRY:	BD.	BOULEVARD	TYPE	ATT_SUF
LEXENTRY:	B.	Berg	TYPE, WORD	ATT_SUF, DET_SUF
LEXENTRY:	Bg.	Berg	TYPE, WORD	ATT_SUF, DET_SUF
LEXENTRY:	BERG	BERG	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	BERGWEG	BERGWEG	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	BERLIN	BERLIN	PROV	DETACH
LEXENTRY:	BETRIEB	BETRIEB	PLACEN	DETACH
LEXENTRY:	BGB	BGB	PLACEN	DETACH
LEXENTRY:	BOGEN	BOGEN	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	ATT_SUF
LEXENTRY:	BRANDENBURG	BRANDENBURG	PROV	DETACH
LEXENTRY:	BREMEN	BREMEN	PROV	DETACH
LEXENTRY:	BRUCH	BRUCH	TYPE	ATT_SUF
LEXENTRY:	Bez.	Bezirk	TYPE, WORD	ATT_SUF, DET_SUF
LEXENTRY:	Bezirk	Bezirk	TYPE, WORD	ATT_PRE, ATT_SUF, DET_SUF
LEXENTRY:	Br.	Brücke	TYPE, WORD	ATT_SUF, DET_SUF
LEXENTRY:	BRÜCKE	BRÜCKE	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	BG	Bundesgymnasium	WORD	DETACH
LEXENTRY:	Bundesgymnasium	Bundesgymnasium	WORD	DETACH
LEXENTRY:	BPD	Bundespolizeidirektion	WORD	DETACH
LEXENTRY:	Bundespolizeidirektion	Bundespolizeidirektion	WORD	DETACH
LEXENTRY:	BRG	Bundesrealgymnasium	WORD	DETACH
LEXENTRY:	Bundesrealgymnasium	Bundesrealgymnasium	WORD	DETACH
LEXENTRY:	Bg.	Burg	BUILDT	ATT_SUF, DET_SUF
LEXENTRY:	BURG	BURG	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	bgld.	Burgenländische	WORD	ATT_PRE, ATT_SUF, DET_SUF
LEXENTRY:	Burgenländische	Burgenländische	WORD	ATT_PRE, ATT_SUF, DET_SUF
LEXENTRY:	Burgenländisches	Burgenländische	WORD	ATT_PRE, ATT_SUF, DET_SUF
LEXENTRY:	Burgenländischer	Burgenländische	WORD	ATT_PRE, ATT_SUF, DET_SUF
LEXENTRY:	Bahnhof	Bahnhof	WORD	DETACH
LEXENTRY:	Bei	Bei	STOPWORD	DETACH
LEXENTRY:	Bgm.	Bürgermeister	WORD	DETACH
LEXENTRY:	Bürgermeister	Bürgermeister	WORD	ATT_PRE, ATT_SUF, DET_SUF
LEXENTRY:	Bhf	Bahnhof	WORD	DETACH
LEXENTRY:	Bhf.	Bahnhof	WORD	DETACH
LEXENTRY:	Br.	Brücke	WORD	DETACH
LEXENTRY:	Brücke	Brücke	WORD	DETACH
LEXENTRY:	Bung.siedl.	Bungalowsiedlung	WORD	DETACH
LEXENTRY:	Bungalow Siedlung	Bungalowsiedlung	WORD	DETACH
LEXENTRY:	Bungalowsiedlung	Bungalowsiedlung	WORD	DETACH
LEXENTRY:	BÜHL	BÜHL	TYPE	ATT_SUF
LEXENTRY:	BÜHL 	BÜHL	TYPE	ATT_SUF
LEXENTRY:	Bürgermeister	Bürgermeister	WORD	DETACH
LEXENTRY:	CH	CHAUSSEE	TYPE	ATT_PRE,ATT_SUF
LEXENTRY:	CH.	CHAUSSEE	TYPE	ATT_PRE,ATT_SUF
LEXENTRY:	CHAUSSEE	CHAUSSEE	TYPE	ATT_PRE,ATT_SUF
LEXENTRY:	CO	CO	PLACEN	DETACH
LEXENTRY:	DAMM	DAMM	TYPE	ATT_SUF,DET_SUF
