LEXICON:	lex-greatbritain.txt	ENG	en_UK
LEXENTRY:	1	1	WORD	DETACH
LEXENTRY:	10	10	WORD	DETACH
LEXENTRY:	10TH	10TH	WORD,ORD	DETACH
LEXENTRY:	11	11	WORD	DETACH
LEXENTRY:	11TH	11TH	WORD,ORD	DETACH
LEXENTRY:	12	12	WORD	DETACH
LEXENTRY:	12TH	12TH	WORD,ORD	DETACH
LEXENTRY:	13	13	WORD	DETACH
LEXENTRY:	13TH	13TH	WORD,ORD	DETACH
LEXENTRY:	14	14	WORD	DETACH
LEXENTRY:	14TH	14TH	WORD,ORD	DETACH
LEXENTRY:	15	15	WORD	DETACH
LEXENTRY:	15TH	15TH	WORD,ORD	DETACH
LEXENTRY:	16	16	WORD	DETACH
LEXENTRY:	16TH	16TH	WORD,ORD	DETACH
LEXENTRY:	17	17	WORD	DETACH
LEXENTRY:	17TH	17TH	WORD,ORD	DETACH
LEXENTRY:	18	18	WORD	DETACH
LEXENTRY:	18TH	18TH	WORD,ORD	DETACH
LEXENTRY:	19	19	WORD	DETACH
LEXENTRY:	19TH	19TH	WORD,ORD	DETACH
LEXENTRY:	1ST	1ST	WORD,ORD	DETACH
LEXENTRY:	2	2	WORD	DETACH
LEXENTRY:	20	20	WORD	DETACH
LEXENTRY:	20TH	20TH	WORD,ORD	DETACH
LEXENTRY:	2ND	2ND	WORD,ORD	DETACH
LEXENTRY:	3	3	WORD	DETACH
LEXENTRY:	30	30	WORD	DETACH
LEXENTRY:	30TH	30TH	WORD,ORD	DETACH
LEXENTRY:	3RD	3RD	WORD,ORD	DETACH
LEXENTRY:	4	4	WORD	DETACH
LEXENTRY:	40	40	WORD	DETACH
LEXENTRY:	40TH	40TH	WORD,ORD	DETACH
LEXENTRY:	4TH	4TH	WORD,ORD	DETACH
LEXENTRY:	5	5	WORD	DETACH
LEXENTRY:	50	50	WORD	DETACH
LEXENTRY:	50TH	50TH	WORD,ORD	DETACH
LEXENTRY:	5TH	5TH	WORD,ORD	DETACH
LEXENTRY:	6	6	WORD	DETACH
LEXENTRY:	60	60	WORD	DETACH
LEXENTRY:	60TH	60TH	WORD,ORD	DETACH
LEXENTRY:	6TH	6TH	WORD,ORD	DETACH
LEXENTRY:	7	7	WORD	DETACH
LEXENTRY:	70	70	WORD	DETACH
LEXENTRY:	70TH	70TH	WORD,ORD	DETACH
LEXENTRY:	7TH	7TH	WORD,ORD	DETACH
LEXENTRY:	8	8	WORD	DETACH
LEXENTRY:	80	80	WORD	DETACH
LEXENTRY:	80TH	80TH	WORD,ORD	DETACH
LEXENTRY:	8TH	8TH	WORD,ORD	DETACH
LEXENTRY:	9	9	WORD	DETACH
LEXENTRY:	90	90	WORD	DETACH
LEXENTRY:	90TH	90TH	WORD,ORD	DETACH
LEXENTRY:	9TH	9TH	WORD,ORD	DETACH
LEXENTRY:	ABD	ABERDEENSHIRE	PROV	DETACH
LEXENTRY:	ABERDEENSHIRE	ABERDEENSHIRE	PROV	DETACH
LEXENTRY:	AGY	ANGLESEY	PROV	DETACH
LEXENTRY:	ALD	ALDERNEY	PROV	DETACH
LEXENTRY:	ALDERNEY	ALDERNEY	PROV	DETACH
LEXENTRY:	ALLEY	AllEY	TYPE	DETACH
LEXENTRY:	ALLY	AllEY	TYPE	DETACH
LEXENTRY:	ANGLESEY	ANGLESEY	PROV	DETACH
LEXENTRY:	ANGUS	ANGUS	PROV	DETACH
LEXENTRY:	ANS	ANGUS	PROV	DETACH
LEXENTRY:	ANT	CO. ANTRIM	PROV	DETACH
LEXENTRY:	APARTMENT	APT	UNITH	DETACH
LEXENTRY:	APPR	APPROACH	TYPE	DETACH
LEXENTRY:	APPROACH	APPROACH	TYPE	DETACH
LEXENTRY:	APT	APT	UNITH	DETACH
LEXENTRY:	ARC	ARCADE	TYPE	DETACH
LEXENTRY:	ARCADE	ARCADE	TYPE	DETACH
LEXENTRY:	ARGYLLSHIRE	ARGYLLSHIRE	PROV	DETACH
LEXENTRY:	ARL	ARGYLLSHIRE	PROV	DETACH
LEXENTRY:	ARM	CO. ARMAGH	PROV	DETACH
LEXENTRY:	AV	AVENUE	TYPE	DETACH
LEXENTRY:	AVE	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH
LEXENTRY:	AVN	AVON	PROV	DETACH
LEXENTRY:	AVON	AVON	PROV	DETACH
LEXENTRY:	AYR	AYRSHIRE	PROV	DETACH
LEXENTRY:	AYRSHIRE	AYRSHIRE	PROV	DETACH
LEXENTRY:	AllEY	AllEY	TYPE	DETACH
LEXENTRY:	B	B	UNITH	DETACH
LEXENTRY:	BAN	BANFFSHIRE	PROV	DETACH
LEXENTRY:	BANFFSHIRE	BANFFSHIRE	PROV	DETACH
LEXENTRY:	BANK	BANK	TYPE	DETACH
LEXENTRY:	BASEMENT	B	UNITH	DETACH
LEXENTRY:	BDF	BEDFORDSHIRE	PROV	DETACH
