LEXICON:	lex-luxembourg.txt	GER	de_LU
LEXENTRY:	ALLEE	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLEE DE L'	ALLÉE DE L'	TYPE	DETACH,PREFIX
LEXENTRY:	ALLEE DE LA	ALLÉE DE LA	TYPE	DETACH
LEXENTRY:	ALLEE DES	ALLÉE DES	TYPE	DETACH
LEXENTRY:	ALLÉE	ALLÉE	TYPE	DETACH
LEXENTRY:	ALLÉE DE L'	ALLÉE DE L'	TYPE	PREFIX,DETACH
LEXENTRY:	ALLÉE DE LA	ALLÉE DE LA	TYPE	DETACH
LEXENTRY:	ALLÉE DES	ALLÉE DES	TYPE	DETACH
LEXENTRY:	AV D'	AVENUE D'	TYPE	DETACH,PREFIX
LEXENTRY:	AV DE	AVENUE DE	TYPE	DETACH
LEXENTRY:	AV DE LA	AVENUE DE LA	TYPE	DETACH
LEXENTRY:	AV DES	AVENUE DES	TYPE	DETACH
LEXENTRY:	AV DU	AVENUE DU	TYPE	DETACH
LEXENTRY:	AV.	AVENUE	TYPE	DETACH
LEXENTRY:	AV. D'	AVENUE D'	TYPE	DETACH,PREFIX
LEXENTRY:	AV. DE	AVENUE DE	TYPE	DETACH
LEXENTRY:	AV. DE LA	AVENUE DE LA	TYPE	DETACH
LEXENTRY:	AV. DES	AVENUE DES	TYPE	DETACH
LEXENTRY:	AV. DU	AVENUE DU	TYPE	DETACH
LEXENTRY:	AVE	AVENUE	TYPE	DETACH
LEXENTRY:	AVE D'	AVENUE D'	TYPE	PREFIX,DETACH
LEXENTRY:	AVE DE	AVENUE DE	TYPE	DETACH
LEXENTRY:	AVE DE LA	AVENUE DE LA	TYPE	DETACH
LEXENTRY:	AVE DES	AVENUE DES	TYPE	DETACH
LEXENTRY:	AVE DU	AVENUE DU	TYPE	DETACH
LEXENTRY:	AVE.	AVENUE	TYPE	DETACH
LEXENTRY:	AVE. D'	AVENUE D'	TYPE	PREFIX,DETACH
LEXENTRY:	AVE. DE	AVENUE DE	TYPE	DETACH
LEXENTRY:	AVE. DE LA	AVENUE DE LA	TYPE	DETACH
LEXENTRY:	AVE. DES	AVENUE DES	TYPE	DETACH
LEXENTRY:	AVE. DU	AVENUE DU	TYPE	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE D'	AVENUE D'	TYPE	PREFIX,DETACH
LEXENTRY:	AVENUE DE	AVENUE DE	TYPE	DETACH
LEXENTRY:	AVENUE DE LA	AVENUE DE LA	TYPE	DETACH
LEXENTRY:	AVENUE DES	AVENUE DES	TYPE	DETACH
LEXENTRY:	AVENUE DU	AVENUE DU	TYPE	DETACH
LEXENTRY:	BACH	BACH	TYPE	DETACH,SUFFIX
LEXENTRY:	BERG	BERG	TYPE	DETACH,SUFFIX
LEXENTRY:	BLVD	BOULEVARD	TYPE	DETACH
LEXENTRY:	BLVD D'	BOULEVARD D'	TYPE	DETACH,PREFIX
LEXENTRY:	BLVD DE	BOULEVARD DE	TYPE	DETACH
LEXENTRY:	BLVD DE L'	BOULEVARD DE L'	TYPE	DETACH,PREFIX
LEXENTRY:	BLVD DE LA	BOULEVARD DE LA	TYPE	DETACH
LEXENTRY:	BLVD DU	BOULEVARD DU	TYPE	DETACH
LEXENTRY:	BLVD.	BOULEVARD	TYPE	DETACH
LEXENTRY:	BLVD. DE	BOULEVARD DE	TYPE	DETACH
LEXENTRY:	BLVD. DE LA	BOULEVARD DE LA	TYPE	DETACH
LEXENTRY:	BLVD. DU	BOULEVARD DU	TYPE	DETACH
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	DETACH
LEXENTRY:	BOULEVARD D'	BOULEVARD D'	TYPE	DETACH,PREFIX
LEXENTRY:	BOULEVARD DE	BOULEVARD DE	TYPE	DETACH
