LEXICON:	lex-netherlands.txt	DUT	nl_NL
LEXENTRY:	(DR)	(DR.)	PROV	DETACH
LEXENTRY:	(FL)	(FL.)	PROV	DETACH
LEXENTRY:	(FR)	FRIESLAND	PROV	DETACH
LEXENTRY:	(FR.)	FRIESLAND	PROV	DETACH
LEXENTRY:	(GLD)	(GLD.)	PROV	DETACH
LEXENTRY:	(GR)	(GR.)	PROV	DETACH
LEXENTRY:	(LB)	(LIM.)	PROV	DETACH
LEXENTRY:	(LB.)	(LIM.)	PROV	DETACH
LEXENTRY:	(LIM)	(LIM.)	PROV	DETACH
LEXENTRY:	(N.B.)	(N.BR.)	PROV	DETACH
LEXENTRY:	(NB)	(N.BR.)	PROV	DETACH
LEXENTRY:	(NBR)	(N.BR.)	PROV	DETACH
LEXENTRY:	(NH)	(N.H.)	PROV	DETACH
LEXENTRY:	(OV)	(OV.)	PROV	DETACH
LEXENTRY:	(UTR)	(UTR.)	PROV	DETACH
LEXENTRY:	(ZH)	(Z.H.)	PROV	DETACH
LEXENTRY:	(ZLD)	(ZLD.)	PROV	DETACH
LEXENTRY:	AKKER	AKKER	TYPE	DETACH,SUFFIX
LEXENTRY:	AKKERS	AKKERS	TYPE	SUFFIX,DETACH
LEXENTRY:	ALLÉE	ALLÉE	TYPE	SUFFIX,DETACH
LEXENTRY:	AV	AVENUE	TYPE	DETACH
LEXENTRY:	AVE	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH
LEXENTRY:	BAAN	BAAN	TYPE	SUFFIX,DETACH
LEXENTRY:	BAAN 	BAAN	TYPE	DETACH,SUFFIX
LEXENTRY:	BD	BOULEVARD	TYPE	SUFFIX,DETACH
LEXENTRY:	BD.	BOULEVARD	TYPE	SUFFIX,DETACH
LEXENTRY:	BEEMD	BEEMD	TYPE	SUFFIX,DETACH
LEXENTRY:	BERG	BERG	TYPE	SUFFIX,DETACH
LEXENTRY:	BERGWEG	BERGWEG	TYPE	DETACH,SUFFIX
LEXENTRY:	BG	BERG	TYPE	SUFFIX,DETACH
LEXENTRY:	BLVD	BOULEVARD	TYPE	SUFFIX,DETACH
LEXENTRY:	BLVD.	BOULEVARD	TYPE	DETACH,SUFFIX
LEXENTRY:	BN	BAAN	TYPE	DETACH,SUFFIX
LEXENTRY:	BORG	BORG	TYPE	DETACH,SUFFIX
LEXENTRY:	BORGH	BORGH	TYPE	DETACH,SUFFIX
LEXENTRY:	BOULEV	BOULEVARD	TYPE	DETACH,SUFFIX
LEXENTRY:	BOULEV.	BOULEVARD	TYPE	DETACH,SUFFIX
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	DETACH,SUFFIX
LEXENTRY:	BRINK	BRINK	TYPE	DETACH,SUFFIX
LEXENTRY:	BRUG	BRUG	TYPE	DETACH,SUFFIX
LEXENTRY:	BUITENLANDS	BUITENLANDS	PLACEN	DETACH
LEXENTRY:	BURG	BURG	TYPE	DETACH,SUFFIX
LEXENTRY:	BURG	BURGEMEESTER	WORD	DETACH
LEXENTRY:	BURGEMEESTER	BURGEMEESTER	WORD	DETACH
LEXENTRY:	BURGWAL	BURGWAL	TYPE	SUFFIX,DETACH
LEXENTRY:	BUURT	BUURT	TYPE	SUFFIX,DETACH
LEXENTRY:	BV	BV	PLACEN	DETACH
LEXENTRY:	BVBA	BVBA	PLACEN	DETACH
LEXENTRY:	CB	CB	PLACEN	DETACH
LEXENTRY:	CENTRUM	CENTRUM	TYPE	SUFFIX,DETACH
LEXENTRY:	COÖPERATIE	COÖPERATIE	PLACEN	DETACH
LEXENTRY:	CVA	CVA	PLACEN	DETACH
LEXENTRY:	CVOA	CVOA	PLACEN	DETACH
LEXENTRY:	D	DE	WORD	DETACH
LEXENTRY:	DAL	DAL	TYPE	SUFFIX,DETACH
LEXENTRY:	DAM	DAM	TYPE	DETACH,SUFFIX
LEXENTRY:	DANS	DANS	TYPE	SUFFIX,DETACH
LEXENTRY:	DE	DE	WORD	DETACH
LEXENTRY:	DIEP	DIEP	TYPE	DETACH,SUFFIX
LEXENTRY:	DIJK	DIJK	TYPE	SUFFIX,DETACH
LEXENTRY:	DK	DIJK	TYPE	DETACH,SUFFIX
LEXENTRY:	DK.	DIJK	TYPE	DETACH,SUFFIX
LEXENTRY:	DOK	DOK	TYPE	DETACH,SUFFIX
LEXENTRY:	DONK	DONK	TYPE	DETACH,SUFFIX
LEXENTRY:	DOORGANG	DOORGANG	TYPE	DETACH,SUFFIX
LEXENTRY:	DR	DREEF	TYPE	DETACH,SUFFIX
LEXENTRY:	DR	(DR.)	PROV	DETACH
LEXENTRY:	DR.	(DR.)	PROV	DETACH
LEXENTRY:	DREEF	DREEF	TYPE	DETACH,SUFFIX
LEXENTRY:	DRENTHE	(DR.)	PROV	DETACH
LEXENTRY:	DWARSSTRAAT	DWARSSTRAAT	TYPE	DETACH,SUFFIX
LEXENTRY:	DWARSWEG	DWARSWEG	TYPE	SUFFIX,DETACH
LEXENTRY:	DWSTR	DWARSSTRAAT	TYPE	SUFFIX,DETACH
LEXENTRY:	DWSTR.	DWARSSTRAAT	TYPE	SUFFIX,DETACH
LEXENTRY:	DWWG	DWARSWEG	TYPE	SUFFIX,DETACH
LEXENTRY:	DWWG.	DWARSWEG	TYPE	DETACH,SUFFIX
LEXENTRY:	EENMANSZAAK	EENMANSZAAK	PLACEN	DETACH
LEXENTRY:	EIND	EIND	TYPE	DETACH,SUFFIX
LEXENTRY:	EINDE	EINDE	TYPE	DETACH,SUFFIX
LEXENTRY:	ERF	ERF	TYPE	SUFFIX,DETACH
LEXENTRY:	FILIAAL	FILIAAL	PLACEN	DETACH
LEXENTRY:	FL	(FL.)	PROV	DETACH
LEXENTRY:	FL.	(FL.)	PROV	DETACH
LEXENTRY:	FLEVOLAND	(FL.)	PROV	DETACH
LEXENTRY:	FR	FRIESLAND	PROV	DETACH
LEXENTRY:	FR.	FRIESLAND	PROV	DETACH
LEXENTRY:	FRYSLÂN	FRIESLAND	PROV	DETACH
LEXENTRY:	GAARD	GAARD	TYPE	DETACH,SUFFIX
LEXENTRY:	GAARDE	GAARDE	TYPE	SUFFIX,DETACH
LEXENTRY:	GALERIJ	GALERIJ	TYPE	SUFFIX,DETACH
LEXENTRY:	GANG	GANG	TYPE	SUFFIX,DETACH
LEXENTRY:	GELDERLAND	(GLD.)	PROV	DETACH
LEXENTRY:	GLD	(GLD.)	PROV	DETACH
LEXENTRY:	GLD.	(GLD.)	PROV	DETACH
LEXENTRY:	GR	GRACHT	TYPE	SUFFIX,DETACH
LEXENTRY:	GR	(GR.)	PROV	DETACH
LEXENTRY:	GR.	GRACHT	TYPE	SUFFIX,DETACH
