LEXICON:	lex-newzealand.txt	ENG	en_NZ
LEXENTRY:	1	1	NUMBER	DETACH
LEXENTRY:	10	10	NUMBER	DETACH
LEXENTRY:	10TH	10TH	WORD,ORD	DETACH
LEXENTRY:	11	11	NUMBER	DETACH
LEXENTRY:	11TH	11TH	WORD,ORD	DETACH
LEXENTRY:	12	12	NUMBER	DETACH
LEXENTRY:	12TH	12TH	WORD,ORD	DETACH
LEXENTRY:	13	13	NUMBER	DETACH
LEXENTRY:	13TH	13TH	WORD,ORD	DETACH
LEXENTRY:	14	14	NUMBER	DETACH
LEXENTRY:	14TH	14TH	WORD,ORD	DETACH
LEXENTRY:	15	15	NUMBER	DETACH
LEXENTRY:	15TH	15TH	WORD,ORD	DETACH
LEXENTRY:	16	16	NUMBER	DETACH
LEXENTRY:	16TH	16TH	WORD,ORD	DETACH
LEXENTRY:	17	17	NUMBER	DETACH
LEXENTRY:	17TH	17TH	WORD,ORD	DETACH
LEXENTRY:	18	18	NUMBER	DETACH
LEXENTRY:	18TH	18TH	WORD,ORD	DETACH
LEXENTRY:	19	19	NUMBER	DETACH
LEXENTRY:	19TH	19TH	WORD,ORD	DETACH
LEXENTRY:	1ST	1ST	WORD,ORD	DETACH
LEXENTRY:	2	2	NUMBER	DETACH
LEXENTRY:	20	20	NUMBER	DETACH
LEXENTRY:	20TH	20TH	WORD,ORD	DETACH
LEXENTRY:	2ND	2ND	WORD,ORD	DETACH
LEXENTRY:	3	3	NUMBER	DETACH
LEXENTRY:	30	30	NUMBER	DETACH
LEXENTRY:	30TH	30TH	WORD,ORD	DETACH
LEXENTRY:	3RD	3RD	WORD,ORD	DETACH
LEXENTRY:	4	4	NUMBER	DETACH
LEXENTRY:	40	40	NUMBER	DETACH
LEXENTRY:	40TH	40TH	WORD,ORD	DETACH
LEXENTRY:	4TH	4TH	WORD,ORD	DETACH
LEXENTRY:	5	5	NUMBER	DETACH
LEXENTRY:	50	50	NUMBER	DETACH
LEXENTRY:	50TH	50TH	WORD,ORD	DETACH
LEXENTRY:	5TH	5TH	WORD,ORD	DETACH
LEXENTRY:	6	6	NUMBER	DETACH
LEXENTRY:	60	60	NUMBER	DETACH
LEXENTRY:	60TH	60TH	WORD,ORD	DETACH
LEXENTRY:	6TH	6TH	WORD,ORD	DETACH
LEXENTRY:	7	7	NUMBER	DETACH
LEXENTRY:	70	70	NUMBER	DETACH
LEXENTRY:	70TH	70TH	WORD,ORD	DETACH
LEXENTRY:	7TH	7TH	WORD,ORD	DETACH
LEXENTRY:	8	8	NUMBER	DETACH
LEXENTRY:	80	80	NUMBER	DETACH
LEXENTRY:	80TH	80TH	WORD,ORD	DETACH
LEXENTRY:	8TH	8TH	WORD,ORD	DETACH
LEXENTRY:	9	9	NUMBER	DETACH
LEXENTRY:	90	90	NUMBER	DETACH
LEXENTRY:	90TH	90TH	WORD,ORD	DETACH
LEXENTRY:	9TH	9TH	WORD,ORD	DETACH
LEXENTRY:	ALLEY 	ALY	TYPE	DET_SUF
LEXENTRY:	ALY	ALY	TYPE	DET_SUF
LEXENTRY:	ANNEX 	ANX	TYPE	DET_SUF
LEXENTRY:	ANX	ANX	TYPE	DET_SUF
LEXENTRY:	APARTMENT	APT	UNITH	DETACH
LEXENTRY:	APT	APT	UNITH	DETACH
LEXENTRY:	ARC	ARC	TYPE	DET_SUF
LEXENTRY:	ARCADE 	ARC	TYPE	DET_SUF
LEXENTRY:	AVE	AVE	TYPE	DET_SUF
LEXENTRY:	AVENUE 	AVE	TYPE	DET_SUF
LEXENTRY:	BASEMENT	BSMT	UNITH	DETACH
LEXENTRY:	BCH	BCH	TYPE	DET_SUF
LEXENTRY:	BEACH	BCH	TYPE	DET_SUF
LEXENTRY:	BEND	BND	TYPE	DET_SUF
LEXENTRY:	BLDG	BLDG	UNITH	DETACH
LEXENTRY:	BLF	BLF	TYPE	DET_SUF
LEXENTRY:	BLUFF 	BLF	TYPE	DET_SUF
LEXENTRY:	BLVD	BLVD	TYPE	DET_SUF
LEXENTRY:	BND	BND	TYPE	DET_SUF
LEXENTRY:	BOTTOM	BTM	TYPE	DET_SUF
LEXENTRY:	BOULEVARD 	BLVD	TYPE	DET_SUF
LEXENTRY:	BR	BR	TYPE	DET_SUF
LEXENTRY:	BRANCH 	BR	TYPE	DET_SUF
LEXENTRY:	BRG	BRG	TYPE	DET_SUF
LEXENTRY:	BRIDGE 	BRG	TYPE	DET_SUF
LEXENTRY:	BRK	BRK	TYPE	DET_SUF
LEXENTRY:	BROOK 	BRK	TYPE	DET_SUF
LEXENTRY:	BSMT	BSMT	UNITH	DETACH
LEXENTRY:	BTM	BTM	TYPE	DET_SUF
LEXENTRY:	BUILDING	BLDG	UNITH	DETACH
LEXENTRY:	BYP	BYP	TYPE	DET_SUF
LEXENTRY:	BYPASS 	BYP	TYPE	DET_SUF
LEXENTRY:	C/O	C/O	UNITH	DETACH
LEXENTRY:	CAPE 	CPE	TYPE	DET_SUF
LEXENTRY:	CAUSEWAY 	CSWY	TYPE	DET_SUF
LEXENTRY:	CENTRE 	CTR	TYPE	DET_SUF
LEXENTRY:	CIR	CIR	TYPE	DET_SUF
LEXENTRY:	CIRCLE 	CIR	TYPE	DET_SUF
LEXENTRY:	CLFS	CLFS	TYPE	DET_SUF
LEXENTRY:	CLIFFS 	CLFS	TYPE	DET_SUF
LEXENTRY:	COR	COR	TYPE	DET_SUF
LEXENTRY:	CORNER 	COR	TYPE	DET_SUF
LEXENTRY:	CORNERS 	CORS	TYPE	DET_SUF
LEXENTRY:	CORS	CORS	TYPE	DET_SUF
LEXENTRY:	COURSE 	CRSE	TYPE	DET_SUF
LEXENTRY:	COURT 	CT	TYPE	DET_SUF
LEXENTRY:	COURTS 	CTS	TYPE	DET_SUF
LEXENTRY:	COVE 	CV	TYPE	DET_SUF
LEXENTRY:	CPE	CPE	TYPE	DET_SUF
LEXENTRY:	CREEK	CRK	TYPE	DET_SUF
LEXENTRY:	CRES	CRES	TYPE	DET_SUF
LEXENTRY:	CRESCENT 	CRES	TYPE	DET_SUF
LEXENTRY:	CRK	CRK	TYPE	DET_SUF
LEXENTRY:	CRSE	CRSE	TYPE	DET_SUF
LEXENTRY:	CSWY	CSWY	TYPE	DET_SUF
