LEXICON:	lex-norway.txt	NOR	no_NO
LEXENTRY:	AB	AB	PLACEN	DETACH
LEXENTRY:	AKTIEBOLAG	AKTIEBOLAG	PLACEN	DETACH
LEXENTRY:	AKTIEBOLAGET	AKTIEBOLAGET	PLACEN	DETACH
LEXENTRY:	ALLE	ALLE	TYPE	DET_SUF
LEXENTRY:	ALLE	ALLÉ	TYPE	ATT_SUF
LEXENTRY:	ALLEEN	ALLEEN	TYPE	ATT_SUF
LEXENTRY:	ALLEEN	ALLÉEN	TYPE	ATT_SUF
LEXENTRY:	ALLÉ	ALLÉ	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	ALLÉEN	ALLÉEN	TYPE	ATT_SUF
LEXENTRY:	ASEN	ÅSEN	TYPE	ATT_SUF
LEXENTRY:	AVENY	AVENY	TYPE	DET_SUF
LEXENTRY:	BAKKE	BAKKE	TYPE	ATT_SUF
LEXENTRY:	BAKKEN	BAKKEN	TYPE	ATT_SUF
LEXENTRY:	BEKK	BEKK	TYPE	ATT_SUF
LEXENTRY:	BEKKEN	BEKKEN	TYPE	ATT_SUF
LEXENTRY:	BRU	BRU	TYPE	DET_SUF,ATT_SUF
LEXENTRY:	BRYGGA	BRYGGA	TYPE	ATT_SUF
LEXENTRY:	BRYGGEN	BRYGGEN	TYPE	ATT_SUF
LEXENTRY:	CHAUSSEEN	CHAUSSEEN	TYPE	ATT_SUF
LEXENTRY:	DALEN	DALEN	TYPE	ATT_SUF
LEXENTRY:	ENGA	ENGA	TYPE	ATT_SUF
LEXENTRY:	FARET	FARET	TYPE	ATT_SUF
LEXENTRY:	G.	GATE	TYPE	DET_SUF
LEXENTRY:	G.	GATA	TYPE	ATT_SUF
LEXENTRY:	GANG	GANG	TYPE	ATT_SUF
LEXENTRY:	GANGEN	GANGEN	TYPE	ATT_SUF
LEXENTRY:	GATA	GATA	TYPE	ATT_SUF
LEXENTRY:	GATE	GATE	TYPE	ATT_SUF,DET_SUF
LEXENTRY:	GATEN	GATEN	TYPE	ATT_SUF
LEXENTRY:	GRENDA	GRENDA	TYPE	ATT_SUF
LEXENTRY:	GT	GATE	TYPE	DET_SUF
LEXENTRY:	GT	GATA	TYPE	ATT_SUF
LEXENTRY:	GT.	GATE	TYPE	DET_SUF
LEXENTRY:	GT.	GATA	TYPE	ATT_SUF
LEXENTRY:	HAGAN	HAGAN	TYPE	ATT_SUF
LEXENTRY:	HAGEN	HAGEN	TYPE	ATT_SUF
LEXENTRY:	HAUGEN	HAUGEN	TYPE	ATT_SUF
LEXENTRY:	KAI	KAI	TYPE	ATT_SUF
LEXENTRY:	KAIA	KAIA	TYPE	ATT_SUF
LEXENTRY:	KAIEN	KAIEN	TYPE	ATT_SUF
LEXENTRY:	KROKEN	KROKEN	TYPE	ATT_SUF
LEXENTRY:	LAGET	LAGET	TYPE	ATT_SUF
LEXENTRY:	LIA	LIA	TYPE	ATT_SUF
LEXENTRY:	LIEN	LIEN	TYPE	ATT_SUF
LEXENTRY:	LOKKA	LØKKA	TYPE	ATT_SUF
LEXENTRY:	LUND	LUND	TYPE	ATT_SUF
LEXENTRY:	LUNDEN	LUNDEN	TYPE	ATT_SUF
