LEXICON:	lex-portugal.txt	POR	pt_PT
LEXENTRY:		ESTRADA DO	TYPE	DET_PRE
LEXENTRY:		ESTRADA DOS	TYPE	DET_PRE
LEXENTRY:		PRAÇA DO	TYPE	DET_PRE
LEXENTRY:		PRAÇA DOS	TYPE	DET_PRE
LEXENTRY:	ALAMEDA	ALAMEDA	TYPE	DET_PRE
LEXENTRY:	ALAMEDA DA	ALAMEDA DA	TYPE	DET_PRE
LEXENTRY:	ALAMEDA DAS	ALAMEDA DAS	TYPE	DET_PRE
LEXENTRY:	ALAMEDA DO	ALAMEDA DO	TYPE	DET_PRE
LEXENTRY:	ALAMEDA DOS	ALAMEDA DOS	TYPE	DET_PRE
LEXENTRY:	ALTO DA	ALTO DA	TYPE	DET_PRE
LEXENTRY:	ALTO DE	ALTO DE	TYPE	DET_PRE
LEXENTRY:	ALTO DO	ALTO DO	TYPE	DET_PRE
LEXENTRY:	ALTO DOS	ALTO DOS	TYPE	DET_PRE
LEXENTRY:	ANDAR	ANDAR	UNITH	DETACH
LEXENTRY:	APARTAMENTO	APARTAMENTO	UNITH	DETACH
LEXENTRY:	APTDO	APARTAMENTO	UNITH	DETACH
LEXENTRY:	APTDO.	APARTAMENTO	UNITH	DETACH
LEXENTRY:	ARCO	ARCO	TYPE	DET_PRE
LEXENTRY:	ARCO DE	ARCO DE	TYPE	DET_PRE
LEXENTRY:	ARCO DO	ARCO DO	TYPE	DET_PRE
LEXENTRY:	AV	AVENIDA	TYPE	DET_PRE
LEXENTRY:	AV DA	AVENIDA DA	TYPE	DET_PRE
LEXENTRY:	AV DAS	AVENIDA DAS	TYPE	DET_PRE
LEXENTRY:	AV DE	AVENIDA DE	TYPE	DET_PRE
LEXENTRY:	AV DO	AVENIDA DO	TYPE	DET_PRE
LEXENTRY:	AV DOS	AVENIDA DOS	TYPE	DET_PRE
LEXENTRY:	AV.	AVENIDA	TYPE	DET_PRE
LEXENTRY:	AV. DA	AVENIDA DA	TYPE	DET_PRE
LEXENTRY:	AV. DAS	AVENIDA DAS	TYPE	DET_PRE
LEXENTRY:	AV. DE	AVENIDA DE	TYPE	DET_PRE
LEXENTRY:	AV. DO	AVENIDA DO	TYPE	DET_PRE
LEXENTRY:	AV. DOS	AVENIDA DOS	TYPE	DET_PRE
LEXENTRY:	AVDA	AVENIDA	TYPE	DET_PRE
LEXENTRY:	AVDA AD	AVENIDA DA	TYPE	DET_PRE
LEXENTRY:	AVDA DAS	AVENIDA DAS	TYPE	DET_PRE
LEXENTRY:	AVDA DE	AVENIDA DE	TYPE	DET_PRE
LEXENTRY:	AVDA DO	AVENIDA DO	TYPE	DET_PRE
LEXENTRY:	AVDA DOS	AVENIDA DOS	TYPE	DET_PRE
LEXENTRY:	AVDA.	AVENIDA	TYPE	DET_PRE
LEXENTRY:	AVDA. AD	AVENIDA DA	TYPE	DET_PRE
LEXENTRY:	AVDA. DAS	AVENIDA DAS	TYPE	DET_PRE
LEXENTRY:	AVDA. DE	AVENIDA DE	TYPE	DET_PRE
LEXENTRY:	AVDA. DO	AVENIDA DO	TYPE	DET_PRE
LEXENTRY:	AVDA. DOS	AVENIDA DOS	TYPE	DET_PRE
LEXENTRY:	AVE	AVENIDA	TYPE	DET_PRE
LEXENTRY:	AVE DA	AVENIDA DA	TYPE	DET_PRE
LEXENTRY:	AVE DAS	AVENIDA DAS	TYPE	DET_PRE
LEXENTRY:	AVE DE	AVENIDA DE	TYPE	DET_PRE
LEXENTRY:	AVE DO	AVENIDA DO	TYPE	DET_PRE
LEXENTRY:	AVE DOS	AVENIDA DOS	TYPE	DET_PRE
