LEXICON:	lex-san_marino.txt	ITA	it
LEXENTRY:	ACCESSO	ACCESSO	TYPE	DET_PRE
LEXENTRY:	ACCESSO A	ACCESSO A	TYPE	DET_PRE
LEXENTRY:	ACQUAVIVA	ACQUAVIVA	CITY	DETACH
LEXENTRY:	AG	AGRIGENTO	PROV	DETACH
LEXENTRY:	AL	ALESSANDRIA	PROV	DETACH
LEXENTRY:	ALLEE	ALLEE	TYPE	DET_SUF
LEXENTRY:	ALLÉE	ALLÉE	TYPE	DET_PRE
LEXENTRY:	ALTO	ALTO	TYPE	DET_PRE
LEXENTRY:	ALZAIA	ALZAIA	TYPE	DET_PRE
LEXENTRY:	AN	ANCONA	PROV	DETACH
LEXENTRY:	ANCIENNE ROUTE DE	ANCIENNE ROUTE DE	TYPE	DET_PRE
LEXENTRY:	AO	AOSTA	PROV	DETACH
LEXENTRY:	AP	ASCOLI PICENO	PROV	DETACH
LEXENTRY:	AQ	L'AQUILA	PROV	DETACH
LEXENTRY:	AR	AREZZO	PROV	DETACH
LEXENTRY:	ARCHIVOLTO	ARCHIVOLTO	TYPE	DET_PRE
LEXENTRY:	ARCHIVOLTO DELLE	ARCHIVOLTO DELLE	TYPE	DET_PRE
LEXENTRY:	ARCHIVOLTO DI	ARCHIVOLTO DI	TYPE	DET_PRE
LEXENTRY:	ARCO	ARCO	TYPE	DET_PRE
LEXENTRY:	ASSOCIAZIONE	ASSOCIAZIONE	PLACEN	DETACH
LEXENTRY:	AT	ASTI	PROV	DETACH
LEXENTRY:	AUTOSTRADA	AUTOSTRADA	TYPE	DET_PRE
LEXENTRY:	AUTOSTRADA DEI	AUTOSTRADA DEI	TYPE	DET_PRE
LEXENTRY:	AUTOSTRADA DEL	AUTOSTRADA DEL	TYPE	DET_PRE
LEXENTRY:	AUTOSTRADA DELLA	AUTOSTRADA DELLA	TYPE	DET_PRE
LEXENTRY:	AV	AVELLINO	PROV	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DET_PRE
LEXENTRY:	AVENUE DE	AVENUE DE	TYPE	DET_PRE
