LEXICON:	lex-spain.txt	SPA	es_ES
LEXENTRY:	A CORUÑA	LA CORUÑA	PROV	DETACH
LEXENTRY:	ALACANT	ALICANTE	PROV	DETACH
LEXENTRY:	ALAMEDA	ALAMEDA	TYPE	DETACH
LEXENTRY:	ALAMEDA DE	ALAMEDA DE	TYPE	DETACH
LEXENTRY:	ALAMEDA DE LA	ALAMEDA DE LA	TYPE	DETACH
LEXENTRY:	ALAMEDA DE LAS	ALAMEDA DE LAS	TYPE	DETACH
LEXENTRY:	ALAMEDA DEL	ALAMEDA DEL	TYPE	DETACH
LEXENTRY:	ALAVA	ÁLAVA	PROV	DETACH
LEXENTRY:	ALBACETE	ALBACETE	PROV	DETACH
LEXENTRY:	ALDAPA	ALDAPA	TYPE	DETACH
LEXENTRY:	ALICANTE	ALICANTE	PROV	DETACH
LEXENTRY:	ALMERIA	ALMERÍA	PROV	DETACH
LEXENTRY:	ALMERÍA	ALMERÍA	PROV	DETACH
LEXENTRY:	ARABA	ÁLAVA	PROV	DETACH
LEXENTRY:	ASTURIAS	ASTURIAS	PROV	DETACH
LEXENTRY:	ASTURIE	ASTURIAS	PROV	DETACH
LEXENTRY:	ASTURIEN	ASTURIAS	PROV	DETACH
LEXENTRY:	ASTURIË	ASTURIAS	PROV	DETACH
LEXENTRY:	ASTÚRIAS	ASTURIAS	PROV	DETACH
LEXENTRY:	AUTOBIA	AUTOBIA	TYPE	DETACH
LEXENTRY:	AUTOBIDEA	AUTOBIDEA	TYPE	DETACH
LEXENTRY:	AUTOPISTA	AUTOPISTA	TYPE	DETACH
LEXENTRY:	AUTOPISTA DE	AUTOPISTA DE	TYPE	DETACH
LEXENTRY:	AUTOPISTA DEL	AUTOPISTA DEL	TYPE	DETACH
LEXENTRY:	AUTOVIA	AUTOVIA	TYPE	DETACH
LEXENTRY:	AUTOVIA DE	AUTOVIA DE	TYPE	DETACH
LEXENTRY:	AUZUNEA	AUZUNEA	TYPE	DETACH
LEXENTRY:	AV	AVENIDA	TYPE	DETACH
LEXENTRY:	AV DA	AVENIDA DA	TYPE	DETACH
LEXENTRY:	AV DAS	AVENIDA DAS	TYPE	DETACH
LEXENTRY:	AV DE	AVENIDA DE	TYPE	DETACH
LEXENTRY:	AV DE LA	AVENIDA DE LA	TYPE	DETACH
LEXENTRY:	AV DE LAS	AVENIDA DE LAS	TYPE	DETACH
LEXENTRY:	AV DE LOS	AVENIDA DE LOS	TYPE	DETACH
LEXENTRY:	AV DEL	AVENIDA DEL	TYPE	DETACH
LEXENTRY:	AV DO	AVENIDA DO	TYPE	DETACH
LEXENTRY:	AV.	AVENIDA	TYPE	DETACH
LEXENTRY:	AV. DA	AVENIDA DA	TYPE	DETACH
LEXENTRY:	AV. DAS	AVENIDA DAS	TYPE	DETACH
LEXENTRY:	AV. DE	AVENIDA DE	TYPE	DETACH
LEXENTRY:	AV. DE LA	AVENIDA DE LA	TYPE	DETACH
LEXENTRY:	AV. DE LAS	AVENIDA DE LAS	TYPE	DETACH
LEXENTRY:	AV. DE LOS	AVENIDA DE LOS	TYPE	DETACH
LEXENTRY:	AV. DEL	AVENIDA DEL	TYPE	DETACH
LEXENTRY:	AV. DO	AVENIDA DO	TYPE	DETACH
LEXENTRY:	AVDA	AVENIDA	TYPE	DETACH
LEXENTRY:	AVDA DA	AVENIDA DA	TYPE	DETACH
LEXENTRY:	AVDA DAS	AVENIDA DAS	TYPE	DETACH
LEXENTRY:	AVDA DE	AVENIDA DE	TYPE	DETACH
LEXENTRY:	AVDA DE LA	AVENIDA DE LA	TYPE	DETACH
LEXENTRY:	AVDA DE LAS	AVENIDA DE LAS	TYPE	DETACH
LEXENTRY:	AVDA DE LOS	AVENIDA DE LOS	TYPE	DETACH
LEXENTRY:	AVDA DEL	AVENIDA DEL	TYPE	DETACH
LEXENTRY:	AVDA DO	AVENIDA DO	TYPE	DETACH
LEXENTRY:	AVDA.	AVENIDA	TYPE	DETACH
LEXENTRY:	AVDA. DA	AVENIDA DA	TYPE	DETACH
LEXENTRY:	AVDA. DAS	AVENIDA DAS	TYPE	DETACH
