LEXICON:	lex-sweden.txt	SWE	sv_SE
LEXENTRY:	AB	AB	PLACEN	DETACH
LEXENTRY:	AKTIEBOLAG	AKTIEBOLAG	PLACEN	DETACH
LEXENTRY:	AKTIEBOLAGET	AKTIEBOLAGET	PLACEN	DETACH
LEXENTRY:	ALLE	ALLÉ	TYPE	DETACH
LEXENTRY:	ALLEN	ALLÉN	TYPE	DETACH,SUFFIX
LEXENTRY:	ALLÉ	ALLÉ	TYPE	DETACH
LEXENTRY:	ALLÉN	ALLÉN	TYPE	DETACH,SUFFIX
LEXENTRY:	AS	ÅS	TYPE	DETACH
LEXENTRY:	ASEN	ÅSEN	TYPE	DETACH,SUFFIX
LEXENTRY:	AVFARTEN	AVFARTEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BACKAR	BACKAR	TYPE	DETACH
LEXENTRY:	BACKARNA	BACKARNA	TYPE	SUFFIX,DETACH
LEXENTRY:	BACKE	BACKE	TYPE	DETACH
LEXENTRY:	BACKEN	BACKEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BAGEN	BÅGEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BANKEN	BÄNKEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BRANTEN	BRANTEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BRINK	BRINK	TYPE	DETACH
LEXENTRY:	BRINKEN	BRINKEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BRO	BRO	TYPE	SUFFIX,DETACH
LEXENTRY:	BRON	BRON	TYPE	SUFFIX,DETACH
LEXENTRY:	BRYGGA	BRYGGA	TYPE	DETACH
LEXENTRY:	BRYGGAN	BRYGGAN	TYPE	SUFFIX,DETACH
LEXENTRY:	BÄNKEN	BÄNKEN	TYPE	SUFFIX,DETACH
LEXENTRY:	BÅGEN	BÅGEN	TYPE	SUFFIX,DETACH
LEXENTRY:	DAL	DAL	TYPE	DETACH
LEXENTRY:	DALEN	DALEN	TYPE	DETACH,SUFFIX
LEXENTRY:	DRAGET	DRAGET	TYPE	SUFFIX,DETACH
LEXENTRY:	ESPLANADEN	ESPLANADEN	TYPE	DETACH,SUFFIX
LEXENTRY:	F O	F O	WORD	DETACH
LEXENTRY:	FO	F O	WORD	DETACH
LEXENTRY:	G	GATAN	TYPE	DETACH,SUFFIX
LEXENTRY:	G.	GATAN	TYPE	SUFFIX,DETACH
LEXENTRY:	GANG	GÅNG	TYPE	DETACH
LEXENTRY:	GANGEN	GÅNGEN	TYPE	SUFFIX,DETACH
LEXENTRY:	GARDSVAG	GÅRDSVÄG	TYPE	DETACH
LEXENTRY:	GARDSVAGEN	GÅRDSVÄGEN	TYPE	DETACH,SUFFIX
LEXENTRY:	GATA	GATA	TYPE	SUFFIX,DETACH
LEXENTRY:	GATAN	GATAN	TYPE	DETACH,SUFFIX
LEXENTRY:	GRAND	GRÄND	TYPE	DETACH,SUFFIX
LEXENTRY:	GRANDEN	GRÄNDEN	TYPE	DETACH,SUFFIX
LEXENTRY:	GRÄND	GRÄND	TYPE	SUFFIX,DETACH
LEXENTRY:	GRÄNDEN	GRÄNDEN	TYPE	DETACH,SUFFIX
LEXENTRY:	GÅNG	GÅNG	TYPE	DETACH
