LEXICON:	pagc-converted	USA	en_US	
LEXENTRY:	#	#	UNITH,STOPWORD	
LEXENTRY:	&	AND	AMPERS,WORD,STOPWORD	
LEXENTRY:	-	-	DASH	
LEXENTRY:	1 / 2	1/2	FRACT	
LEXENTRY:	1 / 2 MILE	1/2 MI	WORD	
LEXENTRY:	1 / 3	1/3	FRACT	
LEXENTRY:	1 / 4	1/4	FRACT	
LEXENTRY:	1 MI	ONE MILE	WORD	
LEXENTRY:	1 MILE	ONE MILE	WORD	
LEXENTRY:	1/2	1/2	FRACT	
LEXENTRY:	1/2 MILE	1/2 MI	WORD	
LEXENTRY:	1/3	1/3	FRACT	
LEXENTRY:	1/4	1/4	FRACT	
LEXENTRY:	10 MI	TEN MILE	WORD	
LEXENTRY:	10 MILE	TEN MILE	WORD	
LEXENTRY:	100 MILE	ONE HUNDRED MILE	WORD	
LEXENTRY:	10MI	TEN MILE	WORD	
LEXENTRY:	11 MI	ELEVEN MILE	WORD	
LEXENTRY:	11 MILE	ELEVEN MILE	WORD	
LEXENTRY:	11MI	ELEVEN MILE	WORD	
LEXENTRY:	12 MI	TWELVE MILE	WORD	
LEXENTRY:	12 MILE	TWELVE MILE	WORD	
LEXENTRY:	12MI	TWELVE MILE	WORD	
LEXENTRY:	13 MI	THIRTEEN MILE	WORD	
LEXENTRY:	13 MILE	THIRTEEN MILE	WORD	
LEXENTRY:	13MI	THIRTEEN MILE	WORD	
LEXENTRY:	14 MI	FOURTEEN MILE	WORD	
LEXENTRY:	14 MILE	FOURTEEN MILE	WORD	
LEXENTRY:	14MI	FOURTEEN MILE	WORD	
LEXENTRY:	15 MI	FIFTEEN MI	WORD	
LEXENTRY:	15 MILE	FIFTEEN MI	WORD	
LEXENTRY:	15MI	FIFTEEN MI	WORD	
LEXENTRY:	16 MI	SIXTEEN MILE	WORD	
LEXENTRY:	16 MILE	SIXTEEN MILE	WORD	
LEXENTRY:	16MI	SIXTEEN MILE	WORD	
LEXENTRY:	17 MI	SEVENTEEN MILE	WORD	
LEXENTRY:	17 MILE	SEVENTEEN MILE	WORD	
LEXENTRY:	17MI	SEVENTEEN MILE	WORD	
LEXENTRY:	18 MI	EIGHTEEEN MILE	WORD	
LEXENTRY:	18 MILE	EIGHTEEEN MILE	WORD	
LEXENTRY:	18MI	EIGHTEEEN MILE	WORD	
LEXENTRY:	19 MI	NINETEEN MILE	WORD	
LEXENTRY:	19 MILE	NINETEEN MILE	WORD	
LEXENTRY:	19MI	NINETEEN MILE	WORD	
LEXENTRY:	1ER	1	ORD	
LEXENTRY:	1ER	PREMIERE	WORD	
LEXENTRY:	1MI	ONE MILE	WORD	
LEXENTRY:	1RE	1	ORD	
LEXENTRY:	1RE	PREMIERE	WORD	
LEXENTRY:	1ST	1	WORD,ORD	
LEXENTRY:	2 MI	TWO MILE	WORD	
LEXENTRY:	2 MILE	TWO MILE	WORD	
LEXENTRY:	20 MI	TWENTY MILE	WORD	
LEXENTRY:	20 MILE	TWENTY MILE	WORD	
LEXENTRY:	20MI	TWENTY MILE	WORD	
LEXENTRY:	21ST	21	WORD,ORD	
LEXENTRY:	22ND	22	WORD,ORD	
LEXENTRY:	23 MI	TWENTY THREE MILE	WORD	
LEXENTRY:	23 MILE	TWENTY THREE MILE	WORD	
LEXENTRY:	23MI	TWENTY THREE MILE	WORD	
LEXENTRY:	23RD	23	WORD,ORD	
LEXENTRY:	2MI	TWO MILE	WORD	
LEXENTRY:	3 / 4	3/4	FRACT	
LEXENTRY:	3 / 8	3/8	FRACT	
LEXENTRY:	3 MI	THREE MILE	WORD	
LEXENTRY:	3 MILE	THREE MILE	WORD	
LEXENTRY:	3/4	3/4	FRACT	
LEXENTRY:	3/8	3/8	FRACT	
LEXENTRY:	31ST	31	WORD,ORD	
LEXENTRY:	33RD	33	WORD,ORD	
LEXENTRY:	3MI	THREE MILE	WORD	
LEXENTRY:	3RD	3	WORD,ORD	
