LEXICON:	lex-vatican.txt	ITA	it_IT
LEXENTRY:	ACCESSO	ACCESSO	TYPE	DETACH
LEXENTRY:	ACCESSO A	ACCESSO A	TYPE	DETACH
LEXENTRY:	AG	AGRIGENTO	PROV	DETACH
LEXENTRY:	AL	ALESSANDRIA	PROV	DETACH
LEXENTRY:	ALLEE	ALLEE	TYPE	DETACH
LEXENTRY:	ALLÉE	ALLÉE	TYPE	DETACH
LEXENTRY:	ALTO	ALTO	TYPE	DETACH
LEXENTRY:	ALZAIA	ALZAIA	TYPE	DETACH
LEXENTRY:	AN	ANCONA	PROV	DETACH
LEXENTRY:	ANCIENNE ROUTE DE	ANCIENNE ROUTE DE	TYPE	DETACH
LEXENTRY:	AO	AOSTA	PROV	DETACH
LEXENTRY:	AP	ASCOLI PICENO	PROV	DETACH
LEXENTRY:	AQ	L'AQUILA	PROV	DETACH
LEXENTRY:	AR	AREZZO	PROV	DETACH
LEXENTRY:	ARCHIVOLTO	ARCHIVOLTO	TYPE	DETACH
LEXENTRY:	ARCHIVOLTO DELLE	ARCHIVOLTO DELLE	TYPE	DETACH
LEXENTRY:	ARCHIVOLTO DI	ARCHIVOLTO DI	TYPE	DETACH
LEXENTRY:	ARCO	ARCO	TYPE	DETACH
LEXENTRY:	ASSOCIAZIONE	ASSOCIAZIONE	PLACEN	DETACH
LEXENTRY:	AT	ASTI	PROV	DETACH
LEXENTRY:	AUTOSTRADA	AUTOSTRADA	TYPE	DETACH
LEXENTRY:	AUTOSTRADA DEI	AUTOSTRADA DEI	TYPE	DETACH
LEXENTRY:	AUTOSTRADA DEL	AUTOSTRADA DEL	TYPE	DETACH
LEXENTRY:	AUTOSTRADA DELLA	AUTOSTRADA DELLA	TYPE	DETACH
LEXENTRY:	AV	AVELLINO	PROV	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH
LEXENTRY:	AVENUE DE	AVENUE DE	TYPE	DETACH
LEXENTRY:	AVENUE DE LA	AVENUE DE LA	TYPE	DETACH
LEXENTRY:	AVENUE DES	AVENUE DES	TYPE	DETACH
LEXENTRY:	AVENUE DU	AVENUE DU	TYPE	DETACH
LEXENTRY:	AZIENDA	AZIENDA	PLACEN	DETACH
LEXENTRY:	BA	BARI	PROV	DETACH
LEXENTRY:	BACINO	BACINO	TYPE	DETACH
LEXENTRY:	BANCA	BANCA	PLACEN	DETACH
LEXENTRY:	BANCO	BANCO	PLACEN	DETACH
LEXENTRY:	BARRIERA	BARRIERA	TYPE	DETACH
LEXENTRY:	BASTIONE	BASTIONE	TYPE	DETACH
LEXENTRY:	BASTIONE DELLA	BASTIONE DELLA	TYPE	DETACH
LEXENTRY:	BASTIONI DI	BASTIONI DI	TYPE	DETACH
LEXENTRY:	BELVEDERE	BELVEDERE	TYPE	DETACH
LEXENTRY:	BG	BERGAMO	PROV	DETACH
LEXENTRY:	BL	BELLUNO	PROV	DETACH
LEXENTRY:	BN	BENEVENTO	PROV	DETACH
LEXENTRY:	BO	BOLOGNA	PROV	DETACH
LEXENTRY:	BORGATA	BORGATA	TYPE	DETACH
LEXENTRY:	BORGO	BORGO	TYPE	DETACH
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	DETACH
LEXENTRY:	BOULEVARD DES	BOULEVARD DES	TYPE	DETACH
LEXENTRY:	BR	BRINDISI	PROV	DETACH
LEXENTRY:	BRÜCKE	BRÜCKE	TYPE	DETACH
LEXENTRY:	BS	BRESCIA	PROV	DETACH
LEXENTRY:	BZ	BOLZANO	PROV	DETACH
LEXENTRY:	C.DA	CONTRADA	TYPE	DETACH
LEXENTRY:	C.L	CALLE	TYPE	DETACH
LEXENTRY:	C.PO	CAMPO	TYPE	DETACH
LEXENTRY:	C.SO	CORSO	TYPE	DETACH
LEXENTRY:	CA	CAGLIARI	PROV	DETACH
LEXENTRY:	CA'	CA'	TYPE	DETACH
LEXENTRY:	CA' DEI	CA' DEI	TYPE	DETACH
LEXENTRY:	CA' DEL	CA' DEL	TYPE	DETACH
LEXENTRY:	CA' DI	CA' DI	TYPE	DETACH
LEXENTRY:	CAL	CAL	TYPE	DETACH
LEXENTRY:	CALATA	CALATA	TYPE	DETACH
LEXENTRY:	CALLE	CALLE	TYPE	DETACH
LEXENTRY:	CALLE DEL	CALLE DEL	TYPE	DETACH
LEXENTRY:	CAMPIELLO	CAMPIELLO	TYPE	DETACH
LEXENTRY:	CAMPO	CAMPO	TYPE	DETACH
LEXENTRY:	CANTON	CANTON	TYPE	DETACH
LEXENTRY:	CANTONE	CANTONE	TYPE	DETACH
LEXENTRY:	CARRER	CARRER	TYPE	DETACH
LEXENTRY:	CARRER DE LA	CARRER DE LA	TYPE	DETACH
LEXENTRY:	CARRER DE LES	CARRER DE LES	TYPE	DETACH
LEXENTRY:	CARRER DEL	CARRER DEL	TYPE	DETACH
LEXENTRY:	CARRER DELS	CARRER DELS	TYPE	DETACH
LEXENTRY:	CASA	CASA	PLACEN	DETACH
LEXENTRY:	CASALE	CASALE	TYPE	DETACH
LEXENTRY:	CASCINA	CASCINA	TYPE	DETACH
LEXENTRY:	CASE	CASE	TYPE	DETACH
LEXENTRY:	CASE SPARSE	CASE SPARSE	TYPE	DETACH
LEXENTRY:	CASELLA POSTALE	CASELLA POSTALE	BOXH	DETACH
LEXENTRY:	CAVALCAVIA	CAVALCAVIA	TYPE	DETACH
LEXENTRY:	CB	CAMPOBASSO	PROV	DETACH
LEXENTRY:	CE	CASERTA	PROV	DETACH
LEXENTRY:	CH	CHIETI	PROV	DETACH
LEXENTRY:	CHEMIN	CHEMIN	TYPE	DETACH
LEXENTRY:	CHEMIN DE	CHEMIN DE	TYPE	DETACH
LEXENTRY:	CHEMIN DE LA	CHEMIN DE LA	TYPE	DETACH
LEXENTRY:	CHEMIN DES	CHEMIN DES	TYPE	DETACH
