LEXICON:	test-lex	ENG	en	
LEXENTRY:	-	-	DASH	DETACH
LEXENTRY:	E	EAST	DIRECT	DETACH
LEXENTRY:	EAST	EAST	DIRECT	DETACH
LEXENTRY:	MA	MASSACHUSETTS	WORD,ROAD,PROV	DETACH
LEXENTRY:	N	NORTH	DIRECT	DETACH
LEXENTRY:	NORTH	NORTH	DIRECT	DETACH
LEXENTRY:	RD	ROAD	TYPE	DETACH
LEXENTRY:	ROAD	ROAD	TYPE	DETACH
LEXENTRY:	S	SOUTH	DIRECT	DETACH
LEXENTRY:	SOUTH	SOUTH	DIRECT	DETACH
LEXENTRY:	ST	STREET	TYPE	DETACH
LEXENTRY:	ST	SAINT	WORD	DETACH
LEXENTRY:	STREET	STREET	TYPE	DETACH
LEXENTRY:	USA	USA	NATION	DETACH
LEXENTRY:	W	WEST	DIRECT	DETACH
LEXENTRY:	WAY	WAY	WORD,TYPE	DETACH
LEXENTRY:	WEST	WEST	DIRECT	DETACH
